date,amount,description
2024-01-01,3200.00,Salary deposit from TechCorp Inc
2024-01-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-01-03,-87.45,Grocery shopping at Whole Foods Market
2024-01-04,-18.50,Coffee and breakfast at Blue Bottle Coffee
2024-01-05,-45.00,Gas station fill-up at Shell
2024-01-06,-125.80,Electric bill payment to PG&E
2024-01-07,-28.00,Lunch at Chipotle Mexican Grill
2024-01-08,-156.78,Grocery shopping at Trader Joe's
2024-01-09,-79.99,Internet bill payment to Comcast
2024-01-10,-22.50,Coffee and pastry at local bakery
2024-01-11,-180.00,Car insurance payment to State Farm
2024-01-12,-95.67,Dinner at Olive Garden with friends
2024-01-13,-15.99,Netflix monthly subscription
2024-01-14,-42.00,Uber ride to downtown office
2024-01-15,1500.00,Freelance web development project
2024-01-16,-112.34,Grocery shopping at Safeway
2024-01-17,-35.00,Movie tickets at AMC Theaters
2024-01-18,-65.00,Gym membership at Planet Fitness
2024-01-19,-28.75,Prescription pickup at CVS Pharmacy
2024-01-20,-145.99,Clothing shopping at Target
2024-01-21,-38.25,Lunch at Panera Bread
2024-01-22,-85.00,Haircut and styling at salon
2024-01-23,-67.89,Grocery shopping at local market
2024-01-24,-12.99,Spotify premium subscription
2024-01-25,-95.00,Water and sewage bill payment
2024-01-26,-220.00,Car maintenance and oil change
2024-01-27,-52.50,Dinner at Italian restaurant
2024-01-28,-89.99,Amazon online purchase - electronics
2024-01-29,-34.99,Book purchase at Barnes & Noble
2024-01-30,-110.00,Monthly phone bill to Verizon
2024-01-31,-350.00,Credit card payment to Chase
2024-02-01,3200.00,Salary deposit from TechCorp Inc
2024-02-02,-1200.00,Monthly rent payment to Riverside Apartments
2024-02-03,-92.18,Grocery shopping at Whole Foods Market
2024-02-04,-19.75,Coffee and muffin at Starbucks
2024-02-05,-48.50,Gas station fill-up at Chevron
2024-02-06,-134.22,Electric bill payment to PG&E
2024-02-07,-32.00,Lunch at Subway
2024-02-08,-143.56,Grocery shopping at Costco
2024-02-09,-79.99,Internet bill payment to Comcast
2024-02-10,-26.00,Coffee and bagel at local cafe
2024-02-11,-55.00,Uber ride to airport
2024-02-12,-125.00,Valentine's Day dinner at steakhouse
2024-02-13,-15.99,Netflix monthly subscription
2024-02-14,-200.00,Valentine's Day gifts and flowers
